step,return,success_rate,mean_steps
5000,-2727.7764157934475,0.0,128.1
10000,-2727.7764157934475,0.0,128.1
15000,-2727.7764157934475,0.0,128.1
20000,-1950.742828599604,0.0,129.3
25000,-87.43562791216307,0.0,250.0
30000,-164.94380583436515,0.0,250.0
35000,-789.8078128405867,0.0,250.0
40000,-243.0287494039495,0.0,250.0
45000,-104.42761901450115,0.0,250.0
50000,-892.5319302747606,0.0,250.0
55000,-109.61326444036631,0.0,250.0
60000,-110.571039806876,0.0,250.0
65000,-74.10316028717338,0.2,226.1
70000,-273.39103856936305,0.1,245.5
75000,-232.87131994357637,0.1,191.1
80000,-195.333830736876,0.1,187.0
85000,-185.30962385272,0.1,150.6
90000,-223.46155725420317,0.0,171.2
95000,-153.20928966524616,0.0,176.8
100000,-160.57015507173475,0.0,177.3
105000,-179.9447496382432,0.0,186.0
110000,-105.78921168124604,0.0,192.2
115000,-125.4005981488128,0.0,187.9
120000,-127.17630272105698,0.0,187.6
125000,-179.98052078863307,0.0,190.4
130000,-150.7783582796978,0.0,193.6
135000,-135.28069938334775,0.0,187.3
140000,-94.02484573881831,0.0,197.3
145000,-85.83866360437308,0.0,182.1
150000,-167.93171441254378,0.0,164.4
155000,-108.44666672901823,0.0,184.1
160000,-216.9310762336293,0.0,167.3
165000,-167.53598801331765,0.0,187.2
170000,-160.7758813444691,0.0,180.3
175000,-321.7822225192943,0.0,156.1
180000,-221.2487329735981,0.0,158.9
185000,-164.7403037040126,0.1,153.0
190000,-341.57142357280657,0.1,154.9
195000,-120.46209093049956,0.1,149.9
200000,-105.24314343386172,0.1,153.2
205000,-102.58822468652473,0.2,126.5
210000,-265.0656214400474,0.1,149.2
215000,-355.5997931117355,0.1,155.9
220000,-350.3972765847432,0.1,146.3
225000,-256.00911661662167,0.1,137.1
230000,-271.73997529492715,0.3,141.8
235000,-169.10631206853526,0.1,150.7
240000,-140.3921293592072,0.3,140.7
245000,-402.9916108894602,0.2,124.7
250000,-525.5735991733613,0.3,131.9
255000,-467.29686194501227,0.3,130.5
260000,-407.04310152643563,0.3,122.4
265000,-209.7409855052456,0.4,113.9
270000,-664.4780352375167,0.2,130.3
275000,-333.55976126220406,0.1,137.3
280000,-290.107809943666,0.4,114.1
285000,-112.64375313126504,0.5,103.3
290000,-215.50065672625,0.5,110.1
295000,-135.11068433870506,0.5,99.0
300000,-53.46128807208654,0.6,103.1
305000,-214.92027795973345,0.8,91.3
310000,-41.99180416597085,0.8,55.7
315000,-57.574627142785616,0.7,89.9
320000,-44.08125467371424,0.8,62.1
325000,-20.66743298144148,0.7,67.1
330000,-62.12103190043255,0.7,88.5
335000,-60.14363812274159,0.8,83.9
340000,-104.63818370724364,0.8,73.1
345000,-20.160133192157545,0.9,58.4
350000,-74.95109832154792,0.9,42.8
355000,-37.49764411282438,0.9,41.2
360000,-174.2713053631805,0.8,54.3
365000,-167.4029063507917,0.9,46.2
370000,-135.45481947633385,1.0,42.7
375000,-94.88206485238602,0.9,38.2
380000,-284.32987511339985,0.8,48.9
385000,-305.3990016391951,1.0,34.6
390000,-302.2041942221127,0.9,37.6
395000,17.457388721390657,1.0,18.7
400000,14.893718597376582,1.0,18.5
405000,4.904593515216663,1.0,21.0
410000,-177.82697171379203,1.0,29.3
415000,-157.82056674423927,1.0,27.4
420000,-175.28434319865798,1.0,27.6
425000,-7.700839936540636,1.0,23.9
430000,12.401407854982505,1.0,18.6
435000,-215.35154986631704,1.0,37.6
440000,8.23312375922396,0.9,27.8
445000,-170.2668548816626,1.0,29.7
450000,-67.63076062260127,1.0,22.2
455000,-146.89022543866605,0.9,25.9
460000,-2.21730476466984,0.9,30.0
465000,-15.251189544779598,1.0,23.3
470000,-144.1426010545648,0.8,36.4
475000,-120.14045404133935,1.0,23.9
480000,19.905091118101208,1.0,19.2
485000,-125.14618808366397,1.0,24.2
490000,-277.79714459418346,1.0,31.2
495000,-242.72456566499628,1.0,28.6
500000,-85.17132397713489,1.0,23.5
