seed,method,step,loss,mean_q,max_q
0,bc,750,2.2071597576141357,5.840173244476318,10.484771728515625
0,bc,1500,2.069463014602661,5.349175453186035,10.096321105957031
0,bc,2250,2.0824875831604004,5.145110130310059,9.159059524536133
0,bc,3000,2.099639415740967,4.85128116607666,9.677352905273438
0,bc,3750,2.0222010612487793,4.531679153442383,9.385780334472656
0,bc,4500,1.9971405267715454,4.354750633239746,8.981184005737305
0,bc,5250,2.0558621883392334,4.276655197143555,8.920101165771484
0,bc,6000,2.082937717437744,4.181453704833984,8.362475395202637
0,bc,6750,1.9136825799942017,3.9848053455352783,7.9991912841796875
0,bc,7500,2.0536975860595703,3.913294792175293,8.538949966430664
0,bc,8250,1.9744309186935425,3.803971767425537,8.15372371673584
0,bc,9000,1.9135297536849976,3.8034987449645996,8.323833465576172
0,bc,9750,1.8212378025054932,3.6522703170776367,7.43629264831543
0,bc,10500,1.9548954963684082,3.699608087539673,8.875121116638184
0,bc,11250,1.9349825382232666,3.6785216331481934,7.727652072906494
0,bc,12000,1.884689211845398,3.5744314193725586,8.771929740905762
0,bc,12750,1.8186479806900024,3.477191686630249,8.280559539794922
0,bc,13500,1.6639772653579712,3.4882092475891113,8.190442085266113
0,bc,14250,1.785193920135498,3.5346896648406982,7.956286430358887
0,bc,15000,1.8656865358352661,3.518955945968628,7.853384017944336
0,naive,2000,447.72796630859375,16.488950729370117,60.64061737060547
0,naive,4000,330.7294006347656,41.142791748046875,129.24349975585938
0,naive,6000,304.48114013671875,79.30288696289062,225.07467651367188
0,naive,8000,408.49700927734375,128.54635620117188,337.0628662109375
0,naive,10000,373.52203369140625,183.71194458007812,467.5513000488281
0,naive,12000,614.171875,217.40023803710938,533.0684814453125
0,naive,14000,353.32373046875,273.6396484375,633.7513427734375
0,naive,16000,575.3291015625,345.1323547363281,772.4324951171875
0,naive,18000,801.2901000976562,475.57965087890625,1061.827880859375
0,naive,20000,875.7100830078125,572.1259765625,1209.5673828125
0,naive,22000,1832.7659912109375,695.2888793945312,1435.08642578125
0,naive,24000,2092.78369140625,949.0625610351562,2044.4395751953125
0,naive,26000,3037.418212890625,1150.388916015625,2429.5185546875
0,naive,28000,5493.02001953125,1426.1845703125,2932.3515625
0,naive,30000,5665.435546875,1681.305419921875,3309.658447265625
0,naive,32000,7782.44970703125,2048.93798828125,3919.06298828125
0,naive,34000,8535.498046875,2407.718017578125,4512.84375
0,naive,36000,11090.2275390625,2854.84716796875,5252.6962890625
0,naive,38000,16673.6328125,3337.582763671875,6008.91796875
0,naive,40000,20536.958984375,3868.08837890625,6785.29443359375
0,cql,2000,463.208740234375,8.790233612060547,49.953041076660156
0,cql,4000,358.0957336425781,19.140199661254883,81.00973510742188
0,cql,6000,299.6634216308594,31.733747482299805,113.66268920898438
0,cql,8000,367.7607727050781,44.82389831542969,141.65985107421875
0,cql,10000,360.4620361328125,59.883705139160156,173.09494018554688
0,cql,12000,513.9100341796875,72.18267059326172,202.56210327148438
0,cql,14000,273.7769470214844,85.69139862060547,235.76358032226562
0,cql,16000,441.50823974609375,103.83767700195312,266.9410400390625
0,cql,18000,304.40240478515625,122.01004028320312,298.95623779296875
0,cql,20000,418.1818542480469,139.91458129882812,319.7244873046875
0,cql,22000,627.5340576171875,161.81265258789062,340.98858642578125
0,cql,24000,502.3435974121094,184.6907196044922,361.74005126953125
0,cql,26000,486.10858154296875,210.85699462890625,397.7622375488281
0,cql,28000,752.5586547851562,234.6005096435547,433.34991455078125
0,cql,30000,425.1186218261719,266.3609924316406,502.2454528808594
0,cql,32000,643.2378540039062,300.766845703125,559.3125
0,cql,34000,544.65625,335.7646484375,631.39892578125
0,cql,36000,600.8046875,378.910400390625,727.6673583984375
0,cql,38000,573.605224609375,420.9748229980469,789.5689697265625
0,cql,40000,663.0133666992188,455.15087890625,839.10546875
1,bc,750,2.2348835468292236,5.836246490478516,10.140707015991211
1,bc,1500,2.248232364654541,5.502326011657715,10.243599891662598
1,bc,2250,2.0926353931427,5.1762213706970215,8.969769477844238
1,bc,3000,2.0393543243408203,4.957963466644287,9.162345886230469
1,bc,3750,2.0060951709747314,4.605131149291992,8.56226634979248
1,bc,4500,2.0836734771728516,4.398299694061279,7.680233001708984
1,bc,5250,2.0526139736175537,4.335684776306152,8.74606990814209
1,bc,6000,1.9576650857925415,4.075479984283447,8.04073429107666
1,bc,6750,1.9624022245407104,4.0279693603515625,8.046183586120605
1,bc,7500,2.010418176651001,3.9797608852386475,8.401514053344727
1,bc,8250,1.9680508375167847,3.8032889366149902,8.39932632446289
1,bc,9000,1.927695393562317,3.736085891723633,8.318124771118164
1,bc,9750,1.87784743309021,3.7154250144958496,7.928936004638672
1,bc,10500,1.785474419593811,3.6145355701446533,8.135416984558105
1,bc,11250,1.9217568635940552,3.54478120803833,8.43294906616211
1,bc,12000,1.9218937158584595,3.6096303462982178,8.719422340393066
1,bc,12750,1.7697170972824097,3.472571611404419,8.71936321258545
1,bc,13500,1.7786351442337036,3.51180362701416,8.200552940368652
1,bc,14250,1.907891035079956,3.4515061378479004,8.86296272277832
1,bc,15000,1.8327279090881348,3.448474884033203,8.580953598022461
1,naive,2000,429.5029296875,15.944814682006836,64.61170196533203
1,naive,4000,293.9803466796875,39.47888946533203,126.90792846679688
1,naive,6000,324.7235412597656,68.36865997314453,197.7607879638672
1,naive,8000,405.9847717285156,108.92503356933594,298.69073486328125
