update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
5,10713,1343.1315714285724,2.384551802381845,0.9180462076829118,0.9479498141061878,1.8,122.4,1510.2532000000008,-0.05270307511091232,12.594754219055176,0.4025447368621826
10,21487,1430.5647142857147,2.0890592179866543,0.933236688315049,0.9460441630381144,1.8,125.0,1580.252800000001,-0.07018095254898071,13.004312515258789,0.38471776247024536
15,31889,1229.0391428571434,2.1928358993613184,0.9317075132647471,0.9443555259316756,2.0,124.4,1556.8364000000008,-0.059568051248788834,11.865798950195312,0.3750152587890625
20,42638,1396.5293076923085,2.0194046623644843,0.9316948055510729,0.9512087207725186,1.6,124.8,1586.8302000000008,-0.06545993685722351,12.713075637817383,0.3646431267261505
25,53463,1300.6627857142864,1.6751208928413834,0.9462147436263548,0.951122005217143,1.4,127.0,1658.1620000000003,-0.04272669181227684,11.878084182739258,0.3759925663471222
30,64079,1329.3363571428579,1.6542996893223894,0.9527914674200367,0.9363956402086462,1.6,127.8,1662.3184000000006,-0.06544068455696106,11.639843940734863,0.392842173576355
35,74606,1227.407785714286,1.767851797107652,0.9511269512910046,0.931186945160379,1.8,127.4,1640.2856000000006,-0.0609070248901844,11.538497924804688,0.3627084493637085
40,85205,1378.4330000000007,1.679769676767411,0.9512353030894353,0.9391389359211108,1.6,127.8,1661.9824000000008,-0.06813957542181015,11.801470756530762,0.3884648084640503
45,95964,1297.2783571428574,1.6823584996221705,0.9511149040526277,0.941912369348282,1.6,127.6,1661.1202000000008,-0.05690640211105347,11.58665943145752,0.3866330683231354
50,106524,1110.9447857142864,1.6823584996221705,0.9511149040526277,0.941912369348282,1.6,127.6,1661.1202000000008,-0.05753076821565628,10.555213928222656,0.3996734321117401
55,117112,1336.480357142858,1.6821822033258744,0.9511149040526277,0.941912369348282,1.6,127.6,1661.144000000001,-0.05374747887253761,11.946702003479004,0.3646366000175476
60,127616,1426.2667692307698,1.6890232134268846,0.950929890176587,0.9431581605940732,1.6,127.0,1653.0260000000005,-0.05278046801686287,11.910893440246582,0.37836137413978577
65,138423,1359.5232142857149,1.299811520722638,0.9605046597930847,0.9457992205987449,1.0,129.6,1743.7562000000005,-0.02904832921922207,12.132152557373047,0.3569294512271881
70,148916,1373.576714285715,1.3283096141968729,0.9589671901705088,0.9441105834923063,1.0,129.0,1730.4860000000003,-0.05092806741595268,12.06190013885498,0.35881680250167847
75,159712,1377.7182142857146,1.330282748525231,0.9589671901705088,0.9426180461788733,1.0,129.0,1729.2216000000003,-0.06753015518188477,12.903491973876953,0.37314125895500183
80,170501,1443.4926428571437,1.1698568941834948,0.9637530177749509,0.9460774299323746,0.8,129.2,1753.1192000000005,-0.05479675531387329,12.434697151184082,0.36427730321884155
85,180988,1481.2431428571435,1.2729395495507263,0.9573542869447025,0.9441847745651432,0.8,128.8,1734.3416000000004,-0.044129058718681335,12.556525230407715,0.3628065586090088
87,185274,1262.7650714285721,1.2729395495507263,0.9573542869447025,0.9441847745651432,0.8,128.8,1734.3416000000004,-0.03831436112523079,11.418161392211914,0.375047892332077
